patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quang Phạm,095304702823,08/05/1954,0700539322,maijohn@example.net,"338 John Số
Thị xã JaneThành phố, 895667",Tim mạch,11.35,Quý cô Thành Vũ,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Hà Bùi,001749752978,09/07/1948,0382890674,jane94@example.org,"18 Hoàng Tổ
Thành phố JohnPhường, 338968",Tiểu đường,7.35,Vũ Phạm,20/01/2026
a2bc372f-7412-4293-8729-4739614ff3d7,Phúc Phú Đặng,643967729489,15/11/1963,0853953902,john92@example.net,"64 Jane Đường
Thành phố JaneThị xã, 380746",Tim mạch,10.5,Lâm Hoàng,03/03/2026
654821d0-7fcd-4eb1-a7ca-d415366eb16f,Anh Anh Lê,327706847824,03/12/1968,0738120362,jane96@example.com,"7 John Ngõ
Quận JaneXã, 166613",Huyết áp cao,10.36,Kim Mai Mai,18/02/2026
f143262f-dc5c-4eed-8da0-365bf89897b9,Dương Trần,813008446559,03/09/1971,0379041889,john46@example.org,"2 Jane Làng
Huyện JohnXã, 916449",Tiểu đường,10.05,Duyên Đặng,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Quang Nguyễn,521878383222,21/02/1968,0787115788,tranjane@example.org,"Quận JaneXã
89 Phạm Làng, 847581",Khỏe mạnh,4.57,Thành Đặng,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Chị Hương Đặng,923521144995,22/03/1938,0737633928,johnnguyen@example.org,"105 John Khu
JohnXã, 238739",Tiểu đường,4.58,Anh Châu Bùi,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Huy Bảo Dương,901599526651,24/09/1942,0557198163,nguyenjane@example.net,"338 Lê Số
Huyện JaneQuận, 179046",Huyết áp cao,3.86,Ông Hưng Mai,03/01/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Chị Hồng Dương,466258732496,14/11/2000,0925615963,janenguyen@example.org,"74 Mai Dãy
Quận JaneQuận, 161324",Tim mạch,11.81,Yến Đặng,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Cô Phương Trần,865311743098,25/08/1960,0905748363,hoangjohn@example.net,"939 John Số
JaneQuận, 802258",Huyết áp cao,4.34,Quang Đức Bùi,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Vũ Văn Dương,474288396008,19/12/1948,0828623613,maijohn@example.net,"354 Jane Khu
Huyện JohnQuận, 377312",Huyết áp cao,11.8,Hà Mai,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Trung Đức Mai,813825620322,06/11/2001,0783123680,john16@example.com,"427 Mai Đường
Thành phố JohnXã, 137778",Tiểu đường,10.46,Nhiên Trí Bùi,25/01/2026
e623a689-5d59-4d2a-8eea-04e70ab54bde,Xuân Đặng,402606057699,13/12/1963,0356105185,johndang@example.net,"2 John Hẻm
JohnQuận, 872343",Khỏe mạnh,10.48,Huy Hải Vũ,31/01/2026
61ee411a-1bac-47a7-b386-f7a4c991603f,Ánh Dương,230899719036,19/08/1965,0320814135,janedang@example.com,"036 Vũ Ngõ
JanePhường, 634150",Huyết áp cao,5.66,Hải Tấn Nguyễn,23/01/2026
2db69edb-42de-4fcc-b86c-2ca2e08596db,Hưng Trần,177250343266,03/07/1994,0759254898,jane69@example.net,"06 John Tổ
JohnPhường, 446239",Khỏe mạnh,6.78,Tú Thế Mai,02/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Tùng Lê,612781271794,20/06/1961,0354092806,rbui@example.net,"80 Vũ Làng
JaneThị xã, 563246",Khỏe mạnh,5.65,Anh Minh Dương,02/02/2026
83f4a9a9-48a6-49d0-95b5-2908a8aa7158,Vũ Hải Vũ,937420900750,06/12/1965,0951892078,johnnguyen@example.org,"1 Bùi Làng
JaneThị xã, 355836",Khỏe mạnh,3.9,Cô Hà Bùi,12/02/2026
b227462c-f53d-4330-8dda-24ba2d06e8cf,Ông Tùng Phạm,297758472045,16/11/1951,0894534707,zle@example.com,"98 Mai Dãy
Thị xã JaneHuyện, 888295",Tim mạch,8.62,Bà Vi Mai,05/04/2026
709b7d97-464c-44af-bd3f-3799a07295e9,Nhật Vũ,504582495029,10/04/1967,0328300847,jane58@example.org,"23 Jane Số
JaneThị xã, 165290",Khỏe mạnh,6.06,Quý cô Hồng Hoàng,04/01/2026
9360715f-c3fe-4183-a172-b725db52ca58,Nhật Văn Đặng,732531158482,01/01/1976,0544126517,ibui@example.net,"34 Dương Đường
JanePhường, 812131",Tiểu đường,9.0,Nhật Xuân Dương,25/01/2026
06e745f9-88bc-439c-9f4c-3b79fb10987f,Khoa Văn Trần,058359399592,10/09/1993,0922481436,janele@example.org,"755 Vũ Số
JohnThị xã, 120324",Huyết áp cao,7.78,Linh Phạm,07/05/2026
a6d964a3-f510-4b53-87fe-e39f1190f938,Vi Nguyễn,556365160675,05/01/1969,0836138438,johnhoang@example.org,"1 Jane Khu
JohnXã, 736745",Huyết áp cao,3.58,Bảo Vũ,21/01/2026
4fdc6e1b-edcb-4cb6-8692-dc639424aed5,Kim Hoàng Trần,430403849716,30/05/1968,0567824057,vujohn@example.net,"6 Trần Tổ
Thị xã JaneThành phố, 554582",Tiểu đường,5.28,Bảo Trí Bùi,04/02/2026
a6846099-f729-4951-8591-31d2bbda0242,Trọng Mai,091425771067,28/02/2001,0990257982,ubui@example.net,"473 Hoàng Số
JohnThị xã, 992288",Tiểu đường,4.92,Phúc Mai Bảo Phạm,10/03/2026
4797b2c9-5720-4246-8223-623bcc3ebdde,Tùng Nguyễn,202978821359,02/09/2005,0789849248,johnpham@example.net,"7 Dương Đường
Huyện JohnThị xã, 825391",Tiểu đường,6.35,Bà Dương Hoàng,13/03/2026
58007c02-87ea-4ff5-8db0-674679279973,Nhật Tấn Đặng,998554516933,10/02/1997,0982965244,jane43@example.org,"823 Jane Khu
JohnQuận, 410636",Huyết áp cao,4.5,Bà Lan Vũ,03/01/2026
4639447b-2067-4dac-88bd-13d1b540b30e,Ngọc Mai,852528669823,13/02/1975,0588758561,janetran@example.org,"75 John Khu
JohnThành phố, 520172",Tiểu đường,8.6,Ông Nhiên Nguyễn,30/01/2026
f2f9e5fa-9016-4161-8fa7-01cd2631d00b,Vũ Phạm,213827616237,25/06/1951,0535850990,mhoang@example.net,"74 Vũ Đường
Quận JohnHuyện, 792509",Huyết áp cao,6.03,Bảo Phạm,03/02/2026
00af5b3a-2812-459a-9337-739e8d4f5d27,Nhật Mai Bảo Vũ,592359570470,20/10/1939,0836046943,janevu@example.net,"3 Hoàng Làng
JohnXã, 335729",Tiểu đường,8.37,Bà Bảo Trần,12/01/2026
9854ce4e-4ebf-45c3-8ae9-b4a72a79ea68,Bảo Trần,543862388787,24/02/1999,0732853689,jane48@example.net,"0 Đặng Khu
Thành phố JohnPhường, 976566",Tiểu đường,6.2,Vi Vũ,22/04/2026
2cd94cbb-c19a-458c-835b-1c8c0a4c9f7f,Quý ông Anh Lê,943082847531,06/09/1994,0769327438,etran@example.com,"1 Jane Số
JanePhường, 519904",Tim mạch,8.67,Chi Trần,03/03/2026
f85e06a1-1dad-49b2-92c2-1221409d3602,Phương Văn Mai,066637378925,26/03/1998,0866073875,mnguyen@example.net,"7 John Khu
Huyện JanePhường, 608257",Tiểu đường,11.56,An Hoàng,16/02/2026
8d03c91e-4f8d-4238-a88b-78b5b5b453ca,Vân Bùi,750448834610,17/01/1948,0860427714,johnduong@example.org,"48 Bùi Dãy
JohnThị xã, 678043",Huyết áp cao,11.12,Quý cô Lâm Hoàng,09/04/2026
dd30de89-22f2-45f2-a11b-868dbf0d073d,Hạnh Bùi,464267190012,13/08/1981,0909592892,john44@example.net,"787 Đặng Số
JaneQuận, 831380",Tim mạch,10.46,Quý cô Mai Bùi,09/01/2026
b489d070-7914-48a8-bea4-ff31517400f8,Kim Trí Dương,826083829650,25/05/1940,0748250389,janetran@example.com,"262 Jane Khu
JanePhường, 184216",Tiểu đường,11.63,Tùng Hữu Đặng,02/05/2026
7cea2045-c268-483e-a32f-2e63b7fddd71,Duyên Trần,122385608853,24/04/1967,0719381295,john16@example.org,"24 John Tổ
Huyện JaneHuyện, 551607",Huyết áp cao,8.93,Chị Phương Bùi,20/04/2026
2b840c67-2e18-4554-8ae2-8e66ae8a7813,Cô Khoa Bùi,631784697662,19/02/1968,0801357065,jhoang@example.org,"40 Vũ Hẻm
Thị xã JaneXã, 413685",Tim mạch,9.67,Nhật Đức Dương,28/02/2026
da743152-627b-41a1-bfd6-f23232ffe294,Ông Quang Bùi,667153295736,18/03/1984,0360832833,jane06@example.com,"7 Phạm Tổ
Quận JanePhường, 892280",Tiểu đường,10.0,Cô Hải Nguyễn,01/03/2026
945ef2e4-088a-43ec-b0d9-c9f8c9e26074,Hoàng Quang Vũ,150434729894,29/10/1979,0380799527,mle@example.org,"8 Lê Khu
JanePhường, 455168",Khỏe mạnh,8.16,Nhật Trần,28/01/2026
dc322c97-39c1-4262-b76c-8edec1101266,Phương Phú Trần,013140522003,22/01/1989,0316505277,vujohn@example.com,"6 Trần Làng
JohnXã, 688678",Huyết áp cao,8.13,Trọng Hải Trần,04/05/2026
b379cb1e-e8cd-40cc-b6da-3ca0d2e82f38,Huy Trần,284252072639,20/05/1954,0390564593,nguyenjane@example.com,"2 Dương Tổ
JohnThị xã, 786735",Tiểu đường,11.31,Nhật Hoàng,21/03/2026
08601833-479d-4cda-b396-ea37f065c817,Trung Mai Dương,477517970922,30/06/1967,0995914103,john58@example.net,"31 Trần Làng
Thành phố JaneQuận, 232040",Khỏe mạnh,5.23,Cô Ánh Mai,10/02/2026
dea45c19-d024-4d72-b748-967f961d33ba,Bà Vi Lê,311967254904,29/09/1935,0329628917,john28@example.com,"0 John Tổ
Huyện JohnQuận, 378258",Khỏe mạnh,4.75,Lan Bùi,13/04/2026
